,Sentiment,Negative_Reason,Airline,Text,TextLength
14086,neutral,,American," Yo, could that be a catering truck before mine eyes?  Unmoving? http://t.co/ASW6QwUf1Z",99
12293,negative,Can't Tell,American, I picked the nonstop flight bc I had things to get to. Shouldï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ve taken diff rou,116
255,positive,,Virgin America, Thanks! Good times there and back! #Vodkatonics the entire flightï¿½ï¿½ï¿,85
184,positive,,Virgin America,ýýýý RT : Youýýýve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,139
2041,negative,Customer Service Issue,United," oh, I'll be sharing alright. Especially about sleeping in this shitty airport and getting 1hr of sleep all night because UA.",132
10129,negative,Customer Service Issue,US Airways, have had a medical issue Late Flight yesterday and need to change my flight today been on hold for an hour and still not through,139
2422,negative,Flight Attendant Complaints,United, Just let the employees know that good service and a kind attitude towards customers is vital in this kind of business. Thanks,133
6493,negative,Late Flight,Southwest, can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!,133
13079,negative,Can't Tell,American, 4 open kiosks for priority with no line and only 4 open for main check in for ~80-100 ppl,102
1841,positive,,United, will do. Just need to get CVG.... and my bag too. Thanks,64
7891,positive,,Delta, word thanks,20
13956,negative,Cancelled Flight,American, hi my flight to DFW 2463 was Cancelled Flightled tonight. Called in and left my number for call back it's been 3hrs please help.,141
6255,neutral,,Southwest," I have a flight to Vegas coming up soon, but havenï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½t received any drink tickets Late Flight",129
5114,neutral,,Southwest, I'm ready for #MayweatherPacquiao in Vegas May 2nd! http://t.co/8dQZlrJo9p,88
14171,negative,Customer Service Issue,American," of course it wasn't your intention, issue lies in lack of response. she did contact you directly; she sat on hold for 50 mins",138
13971,neutral,,American, its Adolfo Garcia,30
13092,negative,Bad Flight,American, don't they already know ?  Isn't everyone sharing how nasty the food is? It's not even close to decent.,116
977,negative,Can't Tell,United, first time flying with United. Also last time. #terrible back to  for me. #branson #virginatlantic #UnitedAirlines,137
12545,negative,Cancelled Flight,American," you guys Cancelled Flightled my flight for today and booked me for tomorrow, so unfortunately i have rebooked. Thanks",130
3324,neutral,,United, I got an email from cust. care for an issue I had offering me a voucher. How do I claim that? I emailed back but got no reply. DM me,140
9534,neutral,,US Airways," I understand that, and when I'm attempting to change the information so they are identical, it tells me to call a #",126
6815,neutral,,Delta,ýýý: Our fleet's on fleek. http://t.co/clu5pdPrHPýýý :(,59
9584,neutral,,US Airways, can you add my KTN to an existing reservation?,57
5482,positive,,Southwest, first time flying with you. You've definitely won me over!,72
6668,negative,Customer Service Issue,Southwest, I also find it ridiculous that I've been tweeting to you since 3:50 AM EST and have still received no response. 9 hours?,134
14238,neutral,,American, message and pics sent...,37
6093,neutral,,Southwest," if a passngr requires wheelchair to gt on plane then sits in an exit row, wld they b physically capable to help in emergency?",139
10563,neutral,,US Airways, how do you have only 1 flight into lexington this afternoon with the #1  playing a big game tonight?  #DoBetter,134
4437,negative,longlines,Southwest, flight 1614 FLL to ATL. My wife traveling with infant. Line to check baggage 200 people long due to your computer system crash,140
4575,neutral,,Southwest,  Just left there  Friday!,39
3082,negative,Can't Tell,United, then send your Jeff Smisek on a trip with JetBlue or SW and make sure he takes notes. I would never choose to fly United again.,135
12292,neutral,,American, forgot to select my ksml on my flight to LA and it's a few minutes under the 24 hour mark. Is there any way to change it?,134
2213,negative,Can't Tell,United, is the worst,20
792,negative,Late Flight,United, can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,127
3166,negative,Cancelled Flight,United, Yes my flight was rebooked. I'm just losing trust in you if I want to get anywhere on time.,99
1808,negative,Flight Attendant Complaints,United, more people would catch their flights if your attendants had more help!,79
13456,negative,Customer Service Issue,American,.  Would be great to get some help too! I've been trying since last night to get through.,108
10940,neutral,,US Airways, of course weather was a joke 43 beats 5 degrees in PHL! ï¿½ï¿½ï¿½ï¿½,71
12345,negative,Customer Service Issue,American, Customer service provides no wiggle room to change flight without a $200 change fee.  has always been accommodating.,139
8700,neutral,,Delta, marks 15th birthday with 'Blumanity' paint job -  (blog) http://t.co/lFGR0Nifut,100
9202,negative,Flight Booking Problems,US Airways," Well, that's a problem considering I need to book a flight tonight for this weekend... is there anything you can do?",127
7738,positive,,Delta, just touched down in #NewOrleans for the annual  national distributor conference! #livethelegend,121
4888,positive,,Southwest, #RedCarpet Southwest Companion Pass would be great!,65
11382,negative,Customer Service Issue,US Airways, I've been waiting for desk for 45 and on hold 36min and counting...photo of desk agent on phone not flattering.,122
1868,neutral,,United," ah, that would explain why crew didn't seem particularly distressed when we pointed it out. It was a little startling at first.",135
6633,negative,Customer Service Issue,Southwest, please send me a number to call to talk to a person and not be put on hold,88
7593,neutral,,Delta, have a cpap machine for sleep apnea. Is this OK to carry on if I also have a small bag for clothes?,108
9929,negative,Customer Service Issue,US Airways, spoke with your reps in NH and PA. Very poor communications. Bags still sitting in Philly. TRAIN YOUR STAFF,118
13187,negative,Customer Service Issue,American,  trying to speak with an agent about my flight to London tonight but can't get anyone from AA.  Can you help?,138
12851,negative,Lost Luggage,American, Took a flight yesterday fron TPA-DFW-AUS. Bag went to IAH. Today bag went to IAH-DFW and then back to IAH. Still no bag!,133
9063,negative,Cancelled Flight,US Airways," I've been on hold to rebook a Cancelled Flighted flight for over two hours. I know weather has a huge impact, but you should anticipate.",147
10311,negative,Flight Attendant Complaints,US Airways, HELLO?! It's been FOUR HOURS since plane landed!   Flt 630 phx to JFK.  3 hrs on Tarmac waiting 4 gate. Plus an hour no bags yet,139
6071,positive,,Southwest, y'all the real MVP with these prices...,53
13980,negative,Customer Service Issue,American," seriously, you hate  since they can't accommodate you due to inclemental  weather disruptions? lol, very funny",135
11582,negative,Late Flight,US Airways, missed flight connection due to flight attendant delay. Yet no voucher on your part? #fail,101
12830,negative,Flight Booking Problems,American, rebooked into a different airport. Throwing a wrench into plans ï¿½ï,78
12597,negative,Customer Service Issue,American, no not yet. Waiting now to be connected to an agent,64
10255,negative,Customer Service Issue,US Airways, checked into my flight yesterday and have been bumped to a Tuesday flight! Unacceptable and no agents to speak to!,125
4395,negative,Late Flight,Southwest,  over two hours now.  Ugh we should all get vouchers this is inexcusable ESP after a pre flight check that was ok.,139
13609,negative,Lost Luggage,American, why wont you find my luggage without blaming everyone else?,72
10971,negative,Flight Attendant Complaints,US Airways," 7+ hrs stranded in DCA...zero apologies and the worst customer service. Been a faithful traveler for 15+ years, but no more!",135
7475,neutral,,Delta," w/ edits: Dear  , your MBAs need better benefits. They should work for us. How can we meet them?",111
85,negative,Can't Tell,Virgin America, it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,122
8233,positive,,Delta, here in Austin I saw the water bottles &amp; snacks  the desk for your waiting passengers! Im so Flight Booking Problems my next flight with you!,155
3027,neutral,,United, I need a customer service manager to contact me please,62
12522,negative,longlines,American, its not weather thats why i said the other people received hotel rooms while the people at the end of the line did not get them,140
3525,negative,Late Flight,United, ^GJ I will. You have to agree that 7+ hours Late Flight for arrival is unacceptable. I only hope and pray my bag is here.,129
8780,negative,Can't Tell,Delta, where exactly can I leave a note,41
2404,negative,Cancelled Flight,United, terrible travel experience. Traveled 8000 miles roundtrip but two Cancelled Flightlations of short hops cost me two days,128
653,neutral,,United, yes please! Trying to get to POP- in Newark now....,59
1856,positive,,United," just touched down in Miami - not too far off , Nicely done united ï¿½ï",75
13248,neutral,,American, flight 353,23
4023,positive,,United," be  ""Chicago's hometown airline"" care about your neighbors #SaveTheDiagonals #FlyQuiet #ORDNoise",104
11517,negative,Customer Service Issue,US Airways, my vacation budget was blown bc of the lack of communication from USAirways. I will never use them again or refer anyone!,132
11950,negative,Late Flight,American, come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed,107
1990,negative,Bad Flight,United, The engineer that designed the 787 door frame to extend half a foot into the plane for seat 27A should be forced to always sit here,139
6152,positive,,Southwest,"   well timed tweet, just boarded and will be listening on my way home!",110
3948,negative,Customer Service Issue,United,", wtf is your username and/or email addr signin STILL unavailable? Been trying to login since Sunday",107
4699,negative,Flight Booking Problems,Southwest," it's not disappointment, it's a blatant disregard for your business select customers, it's becoming a problem that's pushing",138
742,negative,Customer Service Issue,United, The agent that met us at the gate said any issues w/delays on UA1116 would have to be taken up online...,112
13669,negative,Bad Flight,American, I would like to be reimbursed for my shuttle from Denver after #1080 diversion 6+ hours sitting in plane and mech problems,135
8034,positive,,Delta, I'll see you on board again soon!,42
9952,negative,Lost Luggage,US Airways, Please can someone contact me regarding my missing bag? It has been 3 days. Online tracking shows nothing.,117
9351,negative,Can't Tell,US Airways, power trip. I felt completely threatened and unsafe and I am so angry. Derrick Bussey.  DCA. Would like to reiterate that I was,138
2673,negative,Flight Attendant Complaints,United," passengers seated, crew ready #WheresThePilot? Flt1088 from ORD. Hope he isn't at the bar.",98
1079,negative,Bad Flight,United," flight was scheduled for 11:56, it's 1:05 and we haven't moved. I have never been on a flight where everyone moved without a sense",138
11070,neutral,,US Airways, please change direct flights from RIC to JFK instead of LGA. Pleeeeease! LGA is the pits.,100
12535,negative,Cancelled Flight,American, my flight was Cancelled Flightled I called they said they'd call back in 1:36. They did And hung up now saying I have to wait 2 hrs!!,146
14141,negative,Customer Service Issue,American, your 1800 kept hanging up on me and made me miss a second flight,77
1152,negative,longlines,United, gate C 24 IAD. U released passengers to board w/others deplaning .50 peopleOn bridge while next flight  board http://t.co/HfoF33iyhi,140
6048,negative,Flight Attendant Complaints,Southwest, Learn how to give folks on multiple flights the same day boarding position at least if you can't give them  boarding passes.,138
6157,negative,Bad Flight,Southwest, your WiFi is shit. fix that up before I jump out of the closest bloody fucking emergency exit.,108
10530,negative,Customer Service Issue,US Airways," 4+ hour hold, finally Cancelled Flighted ticket! sticking to   who allow easy online Cancelled Flights/refunds! http://t.co/RKVCZBpdCE",159
4925,positive,,Southwest, Thanks.,21
10350,negative,Late Flight,US Airways, Delays due to faulty engine light. Great work guys. Coming up on 2 hrs sitting on the plane #WorstAirlineInAmerica,125
5913,negative,Flight Booking Problems,Southwest, for your loyal A-list customers it should be easier to get help and bring resolution to issues with your rewards program.,135
11164,neutral,,US Airways,"  no, don't leave me!!!",45
10803,neutral,,US Airways, will shall see in the next couple of minutes.,56
7709,negative,Lost Luggage,Delta, she did. she's still waiting on a callback....the lack of follow through is what's concerning. smh,107
9474,negative,Customer Service Issue,US Airways, Who intentionally buys a flight with a 10 hour layover?  And what kind of airline would charge $200 to fix it? Wow... #usairways,139
10155,negative,Customer Service Issue,US Airways, you keep suggesting people call 800-428-4322 but we just end up on hold for hours. You seriously don't have a better method?!,136
12425,neutral,,American," ""Thank you for contacting American. The email address you have written to is an unmonitored accountï¿½",113
14275,negative,Customer Service Issue,American, I can't keep dialing you guys all day. Can I get into the callback queue?,86
3565,negative,Late Flight,United, My flying United is over...sorry. The Captain still had 20 minutes of pre-flight preparations to make while we sat with no air!,135
3680,neutral,,United, Is it possible to redeem miles for one part of a round trip itinerary without having to book two separate reservations?,127
9248,neutral,,US Airways, I sent email to customer.relations.com. Will this work?,69
6644,negative,Cancelled Flight,Southwest, Flight Cancelled Flightled out of BNA.... Do I have to reschedule now or can travel funds be put back into my account for future use?,147
10885,neutral,,US Airways, can I book using some sort of breavement program? I need to get home for my pops funeral,99
732,negative,Bad Flight,United,   It's too bad UA has had another unforeseeable operational issue on my return flight.,94
10039,negative,Customer Service Issue,US Airways, 4 hrs and counting today alone... like I don't have other things to accomplish today than to just keep holding!!!,124
12986,positive,,American, thank you for the assistance,41
11391,negative,Cancelled Flight,US Airways, stop Cancelled Flighting flights over and over and not provide any real help to your customers. #strandedinnashville,127
2051,negative,Customer Service Issue,United, and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,131
6770,neutral,,Delta, Not for the dates or destination I'm headed ï¿½ï,54
156,neutral,,Virgin America, Is flight 0769 out of LGA to DFW on time?,56
2023,neutral,,United," are you looking for European Flight attendants for Paris or Frankfurt?

Best, 

Fabrice",95
13268,negative,Flight Booking Problems,American, Can you add my KTN to an existing reservation? It's not letting me add it online....,97
11773,negative,Bad Flight,US Airways,  your site clearly explains we are allowed a carry on. This was allowed at PIT but not BOS. How does that make sense?,140
2392,negative,Bad Flight,United, hello I am flying first class and am behind 20 people on zone 1!!!!!  Pls pass on to app dept - you should board 1st class first,136
1850,positive,,United," we got it, thanks.",26
11690,negative,Customer Service Issue,US Airways, 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV,140
10625,negative,Customer Service Issue,US Airways, is there a number to call to modify reservation.  Please help. Very frustrating with american and us air merger,122
8419,negative,Flight Booking Problems,Delta, rqstd upgrade to mint at LAX and was told no because i used points! Why turn down $1600 bcz I used points? #trueblue,125
13060,positive,,American, i got a new reservation for tomorrow. Thanks!,58
12908,negative,Customer Service Issue,American, HELP U said ud chnge our retrn flght since we missed our connection Sat &amp; now ur not pickng up the phone.Only hve 18 hrs left!,143
4686,positive,,Southwest, Got help from a nice lady on the phone in Georgia.  Thank you!,76
8579,neutral,,Delta,  dont talk about my friend  like that. #thefutureisweird,80
13322,neutral,,American," two were non revs, right?",38
12217,negative,Cancelled Flight,American," if my flight gets Cancelled Flightled i should be able to reschedule to any date i want, not the next day or 2 days after",134
8024,negative,Flight Booking Problems,Delta," No, it is one I'm trying to make, but it is probably too Late Flight. I did not see an email that I could call. Pittsburgh International.",146
9201,negative,Can't Tell,US Airways," yes, but I had to pay more for another flight to get me out tomorrow since there weren't anymore for tonight...not fun :-/",133
12891,negative,Damaged Luggage,American, check on what? Our broken tablet! See attached picture. #media #filmcrew #nbc #cnn http://t.co/Uq2ooPjPwg,118
13737,positive,,American, you're my early frontrunner for best airline! #oscars2016,70
771,neutral,,United, DM sent,15
3520,negative,Lost Luggage,United, loses my luggage and  loses my reservation. after a 10 hour travel day. I just want to get to  in the am!,140
5369,negative,Customer Service Issue,Southwest, Yes. I figured an hour was a long enough time to hold before giving up. Can somebody call me?,107
11254,negative,Can't Tell,US Airways," thank you.3860 to cincy.just landed.you should add frequent flyer miles to my account..  a long, incredibly frustrating day",134
13160,negative,Can't Tell,American," follows the Talent PM of #BDSM porn site http://t.co/UQGW6qsFFU. New ""Economy Dungeon"" class coming? http://t.co/pl9Sop5IHu",136
4100,negative,Customer Service Issue,United," if your policy changed, you must advise at the time of purchase.  Same if you choose to vary it by airport!  We want a FULL refund!!",140
331,neutral,,Virgin America, Debbie Baldwin gave a #rockstar performance of the safety demo this evening on VX919 #LAS2SFO #BestCrew #SheRocks,128
10239,negative,Late Flight,US Airways," truly been the worst experience this weekend. Delayed, rerouted 3x, now not boarding A 715 flight and says flight is ""on time""",137
13022,negative,Late Flight,American," been  airport 8hrs been told nothing by anyone until now your rep has said ""we are waiting for the mechanics to finish lunch""!",140
3826,negative,Customer Service Issue,United, Learn to hold connections. They texted me there is another flight Late Flightr - my connection hasn't left and were pulling into the gate,145
4656,negative,Late Flight,Southwest, will continue to be my airline of choice.  -most frustrating travel day I've experienced. 5 delays and 4 gate changes?!,140
9016,negative,Customer Service Issue,US Airways,  Over an hour on hold so far,55
4167,neutral,,United,   like 2 weeks after my flight!?!? Creative!,61
10999,negative,Late Flight,US Airways," I doubt that, its 11:21p &amp; we r still being held captive on the ground at DCA! A little communication from up front would b nice.",144
9956,negative,Flight Attendant Complaints,US Airways," thanks to you, you have now incurred us approximately 2000 dollars in fees due to a staff members screw up.  #neveragain",131
9421,negative,Flight Attendant Complaints,US Airways, One of your workers was very rude with us. We can tell you in DM cuz it won't be any good publicity...,113
13708,negative,Customer Service Issue,American," Finally got a call from AA, but it was an automated voice that hung up on me! I called back &amp; it says it'll be 2 more hours.",141
2111,negative,Can't Tell,United," yo, you need a new website really badly. This day and age...",68
7477,negative,Can't Tell,Delta, You failed. That's the answer. Please don't justify otherwise.,71
8688,positive,,Delta, it's okay...I'm actually a tea kinda guy anyway. Thanks!,65
3150,negative,Customer Service Issue,United," rebooked 24 hours after original flight, to say your handling of situation was bad would be an understatement.",118
13041,negative,Flight Booking Problems,American," That's good, I'd expect that but I can't get through on the phone to make any changes. Can I change it online?",123
5991,positive,,Southwest,  friendliest employees,52
6279,neutral,,Southwest,  AHHHH YES LAUREN,45
8777,negative,Flight Attendant Complaints,Delta, tell your employees that!,34
2966,negative,Can't Tell,United, I hope you have a solution or insurance to cover this issue,67
3580,negative,Can't Tell,United," oh no, I'm rebooked, 7+ hours after my original arrival time. We can talk compensation.",95
9967,negative,Can't Tell,US Airways, I have nothing but issues when I fly w/u what's up w/that?! #travel #vacation #awful,95
3847,negative,Late Flight,United, There is no excuse for leaving a minor to spend the night sobbing (9 hours) in a plastic chair. UA's actions? Terrible. # united,136
8710,negative,Flight Attendant Complaints,Delta, I understand but everyone said different things and there was a flight out Late Flightr that night but only one of us got to take it,141
6734,positive,,Southwest, thanks do yall expect to be operational tomorrow out of Nashville?,80
10685,negative,Customer Service Issue,US Airways," - the worst! Hold time crazy, agents horrible, no accountability! #USAIRsucks",88
267,negative,Customer Service Issue,Virgin America, Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!,99
3788,negative,Late Flight,United, rebooked.  This one is Late Flight too.,47
4716,negative,Lost Luggage,Southwest," I did, but no one can find the bag and we need everything in it in the next two hours.",100
6995,negative,Late Flight,Delta,"Noooo don't do it, please don't do it ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½RT : Our fleet's on ",97
11905,negative,Bad Flight,American, thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating,138
7270,negative,Late Flight,Delta, apparently the plane was delayed coming up from San Juan. Monsoon there today?,87
7347,negative,Late Flight,Delta, 4 hr delay on flight to JFK via Tampa &amp; worst customer service in San Juan airport. This after app not working all day.,132
12803,neutral,,American, Can you provide guidance on how I should work with them to resolve the issue,89
11302,negative,Customer Service Issue,US Airways, Emailed them a week ago and still nothing...,55
12625,negative,Can't Tell,American, my mom tried also. That wasn't the reason they wouldn't change it. Y'all literally said that you'd rather have an empty seat.,138
6077,negative,Lost Luggage,Southwest, I spoke to soon... My bag was lost.. :(,53
7823,neutral,,Delta, yesterday's deal?,26
12504,positive,,American, lovely flight back from MIA to LHR - great crew - thanks :-)),74
13385,positive,,American,  thanks hoping that by wed I can get back to DFW,61
5624,neutral,,Southwest, I have the DM from  if needed,59
8746,neutral,,Delta, Sure! Email screenshot below. Link: https://t.co/soiQrN19aj http://t.co/IbVvTzLS4E,91
14515,negative,Customer Service Issue,American," bought a ticket on . After two days, your ""team"" couldn't share the data needed to get me to my next meeting.",135
13498,negative,Customer Service Issue,American," all right, but can you give me an email to write to ?",66
8523,negative,Customer Service Issue,Delta, I did not report the updated info - don't know how to reach them without a super long wait on hold at your main number.,128
3031,negative,Customer Service Issue,United, I'm sure you will offer me nothing for the inconvenience you have put me through TWICE this month. Tweets don't cut it,126
12480,negative,Late Flight,American,". (2/3) ...I sat on the runway for 4 MORE HRS b4 takeoff (10 hrs Late Flight, 4:30 AM). Pilot plainly stated it was a comp/mech issue.",146
326,neutral,,Virgin America, momma I made it! ï¿½ï¿½ï¿½ï¿½,35
4869,negative,Customer Service Issue,Southwest," Why can we no longer change trips with a companion online? Been doing it for years, now get message can't be done online?",135
10835,negative,Customer Service Issue,US Airways, Call volumes are high so the best answer is to hang up on me?,72
9136,negative,Can't Tell,US Airways, nope not yet...,26
8985,negative,Customer Service Issue,US Airways, thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,138
6336,negative,Flight Booking Problems,Southwest, when will you be accepting reservations past August 7?,68
13904,negative,Late Flight,American, no gate agent after 30 minutes to let us off the plane???? WTW / grounds crew is here / hope you're ready to cover my delay,136
14207,negative,Can't Tell,American, we're still here guys - you are the worst,54
2818,negative,Customer Service Issue,United, this means within one week i will have filed 2 compensation complaints to your website,94
6363,neutral,,Southwest,  hi! get a solar charger from Amazon! Game changer to plug usb into charge. :),104
6992,neutral,,Delta,ýýý: Our fleet's on fleek. http://t.co/HovuAIsG16ýýý WTF ýýýýýýýýýýýýýýýý,65
3236,negative,Late Flight,United, over an hour stuck and still not off the plane. Total failure by you and your partners in ensuring the best customer experience.,136
11608,negative,Late Flight,US Airways, hey let flight 1874get to the gate  hours Late Flight and no fate with dozens of kids on board,105
3128,negative,Customer Service Issue,United, agent did help me. My point: there's a problem &amp; I don't want it to mess up somebody else's plans. Can u flow this to tech team pls?,144
13319,positive,,American, thank you for NOT Cancelled Flighting all flights and putting my husbands life in danger driving in this weather. #safetyfirst,139
6113,negative,Late Flight,Southwest, I am going to stop flying with you.  Delays everytime.  This time due to paperwork?,97
480,negative,Customer Service Issue,Virgin America, started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me.,129
12098,neutral,,American,  iPhone 6 64GB (not 6 plus),53
12858,negative,Customer Service Issue,American, Additional fare cost $19.. Tix change price 195 UK Pounds ($304). $19 not the issue the 195 UK Pounds IS ! #badcustomerservice,139
1828,positive,,United, your agents (and service) on my weekend trip have been AMAZING!!! Thank you!!,85
13496,positive,,American," ok, I just received an email with my registration from your team. Thanks a lot",91
13864,negative,Cancelled Flight,American," i hope it takes you 6 hours to get home when it should take 20. my flight was Cancelled Flightled because they ""couldn't staff the plane""",150
4425,neutral,,Southwest, live in Atlanta but cant enroll in your Atlanta companion promotion. Error every time. Can you help? Also sent email. Thanks!,139
13332,neutral,,American, how we looking? We going to be able to get out on time? #flight353,79
14127,negative,Late Flight,American, we need a miracle  please help flight 1228 get out of here by 640 #FingersCrossed #pleasegod #missmykids,128
2958,negative,Can't Tell,United, or I'm sure her business will go else where for airline travel. Her name is Kathryn Sotelo,98
5202,negative,Cancelled Flight,Southwest, are ur flight still Cancelled Flight from nashville tn today and tomorrow to Dallas TX? I been waiting on phone to ur office for 40 min.,150
5322,negative,Customer Service Issue,Southwest, I wrote to your customer support on Monday re: a Cancelled Flighted flight but haven't heard back. Any idea what's up? Thanks.,140
6245,neutral,,Southwest," sure,I'll send a message now!",43
13558,negative,Customer Service Issue,American," husband &amp; I complain about same flight. He gets voucher, I get nothing. Because he flew biz!? Who do I email about this?",137
7968,negative,Late Flight,Delta, were boarding now I'm really not impressed. I've learnt a very valuable lesson .,89
4821,neutral,,Southwest, I know that not everybody on flight can be 1st time flying. But in case it is people in front deplane 1st not from the back?!?,140
4293,negative,Late Flight,United, sat at airport for 5 hrs still sitting at gate..  Sigh,62
789,neutral,,United, I sent the message. Let me know ASAP.,45
13933,negative,Customer Service Issue,American,  are killing me. Over 3 hours to get NO human to help me.,78
8917,negative,Customer Service Issue,Delta," glitches on website re: Flight Booking Problems travel &amp; checking in. Nothing between ur site &amp; the airport was communicated, it was a nightmare.",162
1753,negative,Bad Flight,United, is offering to reroute my SFO flight to LAX. Might be geography class time.,83
5082,negative,Late Flight,Southwest, yall have me sleeping in the airport until 4pm tomorrow! thanks,77
6196,negative,Cancelled Flight,Southwest, bad weather and multiple Cancelled Flighted flights has us all scared!  Noted for next time.,106
10603,negative,Customer Service Issue,US Airways, or is anyone even responding to social media? AWFUL.,63
12520,neutral,,American, yes. No one is answering and I'm on a train,56
6063,negative,Bad Flight,Southwest, Stuck on 4251 with the heat blasting to try and thaw the water lines.... Kinda disappointed for my first flight as a RR member,140
2364,neutral,,United, So what's allowed or what's not allowed to be carried in my checked baggage?,84
12016,negative,Customer Service Issue,American, any idea on what the wait time is for refunds from ? I was told a few days over the phone - but it's well past that.,139
892,positive,,United, awesome I'll book my next Christmas vacatinn this December any other ways you want to devalue mileage plus.,115
4820,negative,Flight Booking Problems,Southwest, me again! I was just trying to rebook fare on wanna get away pricing and it disappeared in time I refreshed. Is this normal?,138
6756,negative,Flight Attendant Complaints,Delta, ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Marty St. George really has zero clue. How does he still have a job? #nobaggagefee,118
14449,negative,Customer Service Issue,American, On hold for 20 mins and then used the call back service only to have an agent call me and put me on hold forever-anyone there?,139
4282,negative,Cancelled Flight,United, Step 1: Cancelled Flight flight. Step 2: Don't notify customer. Step 3: Charge them for food while they try to survive their wait. Brilliant.,149
2675,negative,Late Flight,United, is UA938 still taking off at 9:05pm? I'm stuck on the tarmac on UA3462 waiting to get in.,97
6655,neutral,,Southwest,  no exceptions for national awards?,63
14139,negative,Cancelled Flight,American, I understand flight Cancelled Flightation but not being able to get through to change that flight for 6 hrs is not acceptable.,139
7143,negative,Can't Tell,Delta, I just booked a flight with you guys. I'm reconsidering that decision now after reading this tweet.,108
1028,negative,Bad Flight,United," Arriving 25 minutes early is nice, but not if equipment isn't ready. Waiting 30 minutes for luggage, so far. Time gains wiped out.",138
5960,negative,Bad Flight,Southwest, this inflight WIFI is the absolute worst. I'd be willing to have paid double for dialup speeds...  #Flight7,121
11460,negative,Late Flight,US Airways, stranded in Philly- #Starving and can't get a meal voucher even though your plane had mechanical issue /  next flight in 10 hrs,138
6522,neutral,,Southwest, think you need to follow me for a DM,50
2603,positive,,United,. This flight attendant was extremely helpful to a woman who had a hard time walking. Very touching!,107
9165,negative,Customer Service Issue,US Airways,  I've never been treated this badly,46
12921,negative,Customer Service Issue,American," I've been trying to get through to reservations since yesterday to make a change to a reservation hold, when will it be up?",136
5842,negative,Bad Flight,Southwest, next up: enforcing your boarding procedure.,57
5861,negative,Customer Service Issue,Southwest," Problem is, I wasn't issued a position until today at the gate. And no option to upgrade. Not good when you're 6'4.",129
11153,negative,Late Flight,US Airways, what an amazing day. Delayed 4 hrs bc frozen h2o on plane Now sitting  gate on same plane 4 30 mins still waiting! #flight1797,138
12582,negative,Customer Service Issue,American," couldn't get anyone on the phone all day, the flight you rebooked had me missing a conference.We won't be on flt 1568 tomorrow.",140
9510,negative,Bad Flight,US Airways, : Premier provider of missed connections! #usairwaysfail,67
1449,positive,,United, will do. Thanks for the help. Cheers,44
8982,negative,longlines,US Airways, Been stuck for 40+ minutes due to lavatory issues. No beverages. No snacks. No customer service. Flt 645 to PHO... #fail #refund,139
7219,neutral,,Delta, what's the easiest way to get a ticket receipt? Can I get one at check in or can I get one online? Thanks!,115
188,negative,Flight Attendant Complaints,Virgin America,  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,95
12320,neutral,,American, yes I do I am traveling to Marsh Harbor,52
4126,neutral,,United," 877 from amsterdam to ewr, 02.27.2015, 737-300.",55
6319,neutral,,Southwest, Finally got me home #BNASnow,42
13590,negative,Late Flight,American, just want to thank you guys for the 27 hour delay for flight AA106 from JFK due to staff shortage and not weatherï¿½ï¿½,128
13519,negative,Customer Service Issue,American,"ýýý:  We apologize for your frustrations, Michael. Have you been rebooked?ýýý -got call back after 10 hours. Bad.",134
1921,positive,,United," Nicole at Quito airport took great care of us this week. Handled lost baggage, seat changes. Very professional/nice. Pat her back.",138
5965,positive,,Southwest," Again, please accept my apologies for my lame, childish tweet. You didn't deserve that, &amp; I remain a LOYAL SW customer!",137
11985,negative,Late Flight,American," Right. But more than two hours Late Flight, and it seems due to poor communication, which sounded like it was annoying on-plane staff",146
5046,negative,Customer Service Issue,Southwest, no HUMAN contact for 2 mths from  cust relations or refund dept. If ever a problem do u have humans I can talk to?,140
7443,negative,Late Flight,Delta, at what point in delays can I take a different flight to my destination?,81
1917,neutral,,United, I6EP18,14
11113,negative,Customer Service Issue,US Airways, so basically I am stuck paying for hidden fees and being bumped to an inferior flight. JetBlue here I come. #usairways #mergers,138
